"","ID","HH_ID","PERSON_NUM","PERSON_ID","HH_WEIGHT","P_WEIGHT","TOUR_NUM","WKSUB_NUM","WKSUB_ID","TRIP_NUM","TRIP_ID","RECORD_ID","NOGO","WHYNO","TOUR_TYPE","TOUR_STOPS","START_TRAV","O_LOC_TYPE","O_GEO_ACC","O_STATE","O_REGION","O_COUNTY","O_CPA","O_MCD","O_TRACT","O_TAZ","ARRIVE","ACTIV1","ACTIV2","ACTIV3","ACTIV4","ACT_DUR1","ACT_DUR2","ACT_DUR3","ACT_DUR4","DEPART","MODE","MODE_AGG","PARTY","HH_MEM","HH_PER_NUM1","HH_PER_NUM2","HH_PER_NUM3","HH_PER_NUM4","HH_PER_NUM5","HH_PER_NUM6","DRVER","VEH_NUM","USE_TOLL","TOLL_RD1","TOLL_RD2","TOLL_RD3","TOLL_RD4","TOLL_RD5","TOLL_B1","TOLL_B2","TOLL_B3","TOLL_B4","TOLL_B5","TOLL_B6","TOLL_B7","TOLL_B8","TOLL_B9","PARK_AT","PARK_TRAV","PARK_PAY","PARK_COST","PARK_UNIT","D_LOC_TYPE","D_GEO_ACC","D_STATE","D_REGION","D_COUNTY","D_CPA","D_MCD","D_TRACT","D_TAZ","TripFactor","Survey_TravTime","Model_TravTime","Model_TravDist","CompositeWeight"
"1",815,107997,1,10799701,118.4558804,80.46393599,1,NA,1.07997e+11,2,1.07997e+13,1079970102,NA,NA,2,NA,NA,4,1,42,1,42091,"091_402",4209179136,42091205906,10205,"15:22",19,NA,NA,NA,"0:00","","","","15:40",23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42045,"045_203",4204579000,42045400500,4459,1.12,NA,34.879532,10.845145,90.11960831
"2",816,107997,1,10799701,118.4558804,80.46393599,1,NA,1.07997e+11,3,1.07997e+13,1079970103,NA,NA,2,NA,NA,4,1,42,1,42045,"045_203",4204579000,42045400500,4459,"9998",19,NA,NA,NA,"0:00","","","","9998",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000100,86,1.12,NA,NA,NA,90.11960831
"3",817,107997,1,10799701,118.4558804,80.46393599,1,NA,1.07997e+11,4,1.07997e+13,1079970104,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000100,86,"16:30",6,NA,NA,NA,"0:00","","","","16:40",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101007900,1021,1.12,20,26.610914,4.392355,90.11960831
"4",818,107997,1,10799701,118.4558804,80.46393599,1,NA,1.07997e+11,5,1.07997e+13,1079970105,NA,NA,2,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101007900,1021,"17:00",12,NA,NA,NA,"0:00","","","","9998",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42029,"029_312",4202968288,42029300502,8216,1.12,NA,NA,NA,90.11960831
"5",819,107997,1,10799701,118.4558804,80.46393599,2,NA,1.07997e+11,6,1.07997e+13,1079970106,NA,NA,2,1,NA,1,1,42,1,42029,"029_312",4202968288,42029300502,8216,"9998",19,NA,NA,NA,"0:00","","","","9998",23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42045,"045_203",4204579000,42045400500,4459,1.12,NA,NA,NA,90.11960831
"6",1008,109412,1,10941201,193.1562522,82.41667612,1,NA,1.09412e+11,2,1.09412e+13,1094120102,NA,NA,2,NA,NA,4,1,42,1,42029,"029_308",4202910824,42029311401,7401,"8:00",18,19,NA,NA,"0:10","","","","8:13",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,90,1.13,77,90.72718,36.535519,93.13084402
"7",1040,109487,2,10948702,522.3689799,211.7919586,2,NA,1.09487e+11,5,1.09487e+13,1094870205,NA,NA,2,0,NA,1,1,42,1,42045,"045_203",4204579000,42045400301,4442,"19:00",19,NA,NA,NA,"0:00","","","","9998",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42045,"045_203",4204579000,42045400301,4442,1.17,NA,NA,NA,247.7965915
"8",1073,109638,2,10963802,123.6681131,81.52012115,1,NA,1.09638e+11,1,1.09638e+13,1096380201,NA,NA,1,1,2,1,1,42,1,42045,"045_203",4204579000,42045400802,4440,"",6,NA,NA,NA,"0:00","","","","8:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42101,"101_103",4210160000,42101000500,74,1.12,60,36.937359,7.425166,91.30253569
"9",1074,109638,2,10963802,123.6681131,81.52012115,1,NA,1.09638e+11,2,1.09638e+13,1096380202,NA,NA,1,NA,NA,2,1,42,1,42101,"101_103",4210160000,42101000500,74,"9:00",5,NA,NA,NA,"8:00","","","","17:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42045,"045_203",4204579000,42045400802,4440,1.12,60,35.700992,7.170394,91.30253569
"10",1171,110999,1,11099901,125.5299342,114.8389391,1,NA,1.10999e+11,2,1.10999e+13,1109990102,NA,NA,1,NA,NA,2,1,42,1,42045,"045_205",4204579248,42045407902,4830,"8:11",5,NA,NA,NA,"7:15","","","","15:30",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42045,"045_206",4204533144,42045408500,5010,1.12,19,83.86387,15.784854,128.6196118
"11",1180,111118,1,11111801,211.9343458,206.7851236,1,NA,1.11118e+11,2,1.11118e+13,1111180102,NA,NA,1,NA,NA,4,1,42,1,42091,"091_401",4209144976,42091204900,10028,"7:20",19,NA,NA,NA,"0:00","","","","7:24",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42101,"101_110",4210160000,42101980000,1040,1.17,21,23.235999,10.696279,241.9385946
"12",1181,111118,1,11111801,211.9343458,206.7851236,1,NA,1.11118e+11,3,1.11118e+13,1111180103,NA,NA,1,NA,NA,2,1,42,1,42101,"101_110",4210160000,42101980000,1040,"7:45",5,NA,NA,NA,"8:30","","","","16:15",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42045,"045_206",4204563264,42045409602,5047,1.17,25,35.109764,10.870188,241.9385946
"13",1350,112292,1,11229201,174.9047129,219.286354,1,NA,1.12292e+11,3,1.12292e+13,1122920103,NA,NA,1,NA,NA,4,1,42,1,42091,"091_412",4209100156,42091201607,12222,"9:23",6,NA,NA,NA,"0:01","","","","9:24",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42091,"091_409",4209179056,42091201003,11646,1.17,31,57.216768,14.52237,256.5650341
"14",1543,114354,1,11435401,264.8909442,105.5642029,1,NA,1.14354e+11,2,1.14354e+13,1143540102,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000300,121,"10:25",19,NA,NA,NA,"0:30","","","","10:55",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,72,1.17,35,14.506672,1.047142,123.5101174
"15",1544,114354,1,11435401,264.8909442,105.5642029,1,NA,1.14354e+11,3,1.14354e+13,1143540103,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,72,"11:30",6,NA,NA,NA,"0:25","","","","11:45",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,88,1.17,8,7.866091,0.491512,123.5101174
"16",1546,114354,1,11435401,264.8909442,105.5642029,1,NA,1.14354e+11,5,1.14354e+13,1143540105,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000200,107,"13:10",19,NA,NA,NA,"0:10","","","","13:20",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000300,121,1.17,30,20.54996,1.646136,123.5101174
"17",1559,114555,1,11455501,318.6405375,100.9488062,1,NA,1.14555e+11,1,1.14555e+13,1145550101,NA,NA,3,1,2,4,1,42,1,42101,"101_112",4210160000,42101004202,808,"",1,NA,NA,NA,"3:00","","","","6:15",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000901,41,1.17,45,23.088364,3.476749,118.1101033
