"record_id","person_id","journey_id","trip_num","mode","rr_role","depart_time","depart_min_of_day","depart_lon","depart_lat","dest_lon","dest_lat","o_county","d_county","peak_period","is_peak","survey_travtime","model_travtime"
1094870204,10948702,988,4,22,"rail_leg","17:30",1050,-75.2885123046458,40.0829515339353,-75.2582617306911,39.9505465618713,42091,42045,"pm_peak",TRUE,90,73.621258
1114230101,11142301,1182,1,22,"rail_leg","9:30",570,-75.3793856687375,39.8793852847628,-75.1466622121185,39.9478355374067,42045,42101,"off_peak",FALSE,90,98.431321
1114230103,11142301,1184,3,22,"rail_leg","18:30",1110,-75.1611907875754,39.9477574019743,-75.3793856687375,39.8793852847628,42101,42045,"pm_peak",TRUE,90,79.628151
1115690201,11156902,1207,1,22,"rail_leg","7:45",465,-75.1021904955652,40.1763831579957,-75.1896061471959,39.9540702600328,42091,42101,"am_peak",TRUE,70,58.011613
1115690202,11156902,1208,2,22,"rail_leg","16:45",1005,-75.1896061471959,39.9540702600328,-75.1612826317197,39.9532127364358,42101,42101,"pm_peak",TRUE,35,12.711605
1115690203,11156902,1209,3,22,"rail_leg","20:15",1215,-75.1612826317197,39.9532127364358,-75.1021904955652,40.1763831579957,42101,42091,"off_peak",FALSE,47,46.383333
1128800201,11288002,1366,1,22,"rail_leg","6:30",390,-75.3409244198258,40.1179073455375,-75.1505658415867,39.9464361327538,42091,42101,"am_peak",TRUE,75,63.852249
1128800202,11288002,1367,2,22,"rail_leg","16:45",1005,-75.1505658415867,39.9464361327538,-75.3409244198258,40.1179073455375,42101,42091,"pm_peak",TRUE,90,65.367516
3000980104,30009801,2619,4,22,"rail_leg","14:55",895,-75.1392788470332,40.0429484652339,-75.1588750233838,39.9528401835985,42101,42101,"off_peak",FALSE,14,24.926883
3000980105,30009801,2619,5,22,"rail_leg","15:28",928,-75.1588750233838,39.9528401835985,-75.3548774564537,39.9036369389223,42101,42045,"off_peak",FALSE,42,36.921641
3038880104,30388801,3278,4,22,"rail_leg","16:37",997,-75.1947508247048,40.0550864009275,-75.1648345113326,39.9541020155151,42101,42101,"pm_peak",TRUE,33,42.670002
3068390302,30683903,3753,2,22,"rail_leg","8:41",521,-75.2227705952579,40.1527379939727,-75.1545851492175,39.9813757258968,42091,42101,"am_peak",TRUE,23,39.996098
3068390304,30683903,3754,4,22,"rail_leg","19:30",1170,-75.1480260525691,39.9820906148628,-75.2227705952579,40.1527379939727,42101,42091,"off_peak",FALSE,40,36.536966
3125270202,31252702,4811,2,22,"rail_leg","11:28",688,-75.112010204855,40.0551558806353,-75.1834073455283,39.9599979498596,42091,42101,"off_peak",FALSE,31,46.191884
3151800102,31518001,5336,2,22,"rail_leg","17:30",1050,-75.2227705952579,40.1527379939727,-75.1704674139331,39.9548009865238,42091,42101,"pm_peak",TRUE,45,50.672966
3161510201,31615102,5431,1,22,"rail_leg","6:30",390,-75.1894072133033,40.0670899916203,-75.1648345113326,39.9541020155151,42101,42101,"am_peak",TRUE,40,40.553938
