"ID","HH_ID","PERSON_NUM","PERSON_ID","HH_WEIGHT","P_WEIGHT","TOUR_NUM","WKSUB_NUM","WKSUB_ID","TRIP_NUM","TRIP_ID","RECORD_ID","NOGO","WHYNO","TOUR_TYPE","TOUR_STOPS","START_TRAV","O_LOC_TYPE","O_GEO_ACC","O_STATE","O_REGION","O_COUNTY","O_CPA","O_MCD","O_TRACT","O_TAZ","ARRIVE","ACTIV1","ACTIV2","ACTIV3","ACTIV4","ACT_DUR1","ACT_DUR2","ACT_DUR3","ACT_DUR4","DEPART","MODE","MODE_AGG","PARTY","HH_MEM","HH_PER_NUM1","HH_PER_NUM2","HH_PER_NUM3","HH_PER_NUM4","HH_PER_NUM5","HH_PER_NUM6","DRVER","VEH_NUM","USE_TOLL","TOLL_RD1","TOLL_RD2","TOLL_RD3","TOLL_RD4","TOLL_RD5","TOLL_B1","TOLL_B2","TOLL_B3","TOLL_B4","TOLL_B5","TOLL_B6","TOLL_B7","TOLL_B8","TOLL_B9","PARK_AT","PARK_TRAV","PARK_PAY","PARK_COST","PARK_UNIT","D_LOC_TYPE","D_GEO_ACC","D_STATE","D_REGION","D_COUNTY","D_CPA","D_MCD","D_TRACT","D_TAZ","TripFactor","Survey_TravTime","Model_TravTime","Model_TravDist","CompositeWeight","DEPART_HOUR","DEPART_MIN","DEPART_MIN_OF_DAY","TRAV_DOW","TRAV_DATE","HOLIDAY","HOL_TYPE","depart_lon","depart_lat","dest_lon","dest_lat","depart_point","dest_point"
815,107997,1,10799701,118.4558804,80.46393599,1,NA,1.07997e+11,2,1.07997e+13,1079970102,NA,NA,2,NA,NA,4,1,42,1,42091,"091_402",4209179136,42091205906,10205,"15:22",19,NA,NA,NA,"0:00","","","","15:40",23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42045,"045_203",4204579000,42045400500,4459,1.12,NA,34.879532,10.845145,90.11960831,15,40,940,2,"7/31/2012","",0,-75.335420259149,40.0698383522223,-75.2626735411038,39.9640057100153,"POINT (-75.335420 40.069838)","POINT (-75.262674 39.964006)"
817,107997,1,10799701,118.4558804,80.46393599,1,NA,1.07997e+11,4,1.07997e+13,1079970104,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000100,86,"16:30",6,NA,NA,NA,"0:00","","","","16:40",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_110",4210160000,42101007900,1021,1.12,20,26.610914,4.392355,90.11960831,16,40,1000,2,"7/31/2012","",0,-75.1470807570054,39.9513767444736,-75.2182588102061,39.950471058218,"POINT (-75.147081 39.951377)","POINT (-75.218259 39.950471)"
1008,109412,1,10941201,193.1562522,82.41667612,1,NA,1.09412e+11,2,1.09412e+13,1094120102,NA,NA,2,NA,NA,4,1,42,1,42029,"029_308",4202910824,42029311401,7401,"8:00",18,19,NA,NA,"0:10","","","","8:13",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,90,1.13,77,90.72718,36.535519,93.13084402,8,13,493,4,"8/2/2012","",0,-75.7773113001476,39.9924677984963,-75.1588750233838,39.9528401835985,"POINT (-75.777311 39.992468)","POINT (-75.158875 39.952840)"
1073,109638,2,10963802,123.6681131,81.52012115,1,NA,1.09638e+11,1,1.09638e+13,1096380201,NA,NA,1,1,2,1,1,42,1,42045,"045_203",4204579000,42045400802,4440,"",6,NA,NA,NA,"0:00","","","","8:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42101,"101_103",4210160000,42101000500,74,1.12,60,36.937359,7.425166,91.30253569,8,0,480,4,"8/2/2012","",0,-75.2862320050127,39.9472873841357,-75.1638872349499,39.9525548857932,"POINT (-75.286232 39.947287)","POINT (-75.163887 39.952555)"
1074,109638,2,10963802,123.6681131,81.52012115,1,NA,1.09638e+11,2,1.09638e+13,1096380202,NA,NA,1,NA,NA,2,1,42,1,42101,"101_103",4210160000,42101000500,74,"9:00",5,NA,NA,NA,"8:00","","","","17:00",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42045,"045_203",4204579000,42045400802,4440,1.12,60,35.700992,7.170394,91.30253569,17,0,1020,4,"8/2/2012","",0,-75.1638872349499,39.9525548857932,-75.2862320050127,39.9472873841357,"POINT (-75.163887 39.952555)","POINT (-75.286232 39.947287)"
1171,110999,1,11099901,125.5299342,114.8389391,1,NA,1.10999e+11,2,1.10999e+13,1109990102,NA,NA,1,NA,NA,2,1,42,1,42045,"045_205",4204579248,42045407902,4830,"8:11",5,NA,NA,NA,"7:15","","","","15:30",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42045,"045_206",4204533144,42045408500,5010,1.12,19,83.86387,15.784854,128.6196118,15,30,930,4,"8/2/2012","",0,-75.3987233993895,39.9261429188378,-75.3283478818808,39.9804431108819,"POINT (-75.398723 39.926143)","POINT (-75.328348 39.980443)"
1180,111118,1,11111801,211.9343458,206.7851236,1,NA,1.11118e+11,2,1.11118e+13,1111180102,NA,NA,1,NA,NA,4,1,42,1,42091,"091_401",4209144976,42091204900,10028,"7:20",19,NA,NA,NA,"0:00","","","","7:24",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42101,"101_110",4210160000,42101980000,1040,1.17,21,23.235999,10.696279,241.9385946,7,24,444,3,"8/8/2012","",0,-75.3286199019552,40.0309191057453,-75.1834073455283,39.9599979498596,"POINT (-75.328620 40.030919)","POINT (-75.183407 39.959998)"
1181,111118,1,11111801,211.9343458,206.7851236,1,NA,1.11118e+11,3,1.11118e+13,1111180103,NA,NA,1,NA,NA,2,1,42,1,42101,"101_110",4210160000,42101980000,1040,"7:45",5,NA,NA,NA,"8:30","","","","16:15",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,42,1,42045,"045_206",4204563264,42045409602,5047,1.17,25,35.109764,10.870188,241.9385946,16,15,975,3,"8/8/2012","",0,-75.1834073455283,39.9599979498596,-75.3335267105402,40.0257716741197,"POINT (-75.183407 39.959998)","POINT (-75.333527 40.025772)"
1350,112292,1,11229201,174.9047129,219.286354,1,NA,1.12292e+11,3,1.12292e+13,1122920103,NA,NA,1,NA,NA,4,1,42,1,42091,"091_412",4209100156,42091201607,12222,"9:23",6,NA,NA,NA,"0:01","","","","9:24",21,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,42,1,42091,"091_409",4209179056,42091201003,11646,1.17,31,57.216768,14.52237,256.5650341,9,24,564,4,"8/9/2012","",0,-75.1176717363826,40.1313732890668,-75.2823672331362,40.2208246075088,"POINT (-75.117672 40.131373)","POINT (-75.282367 40.220825)"
1543,114354,1,11435401,264.8909442,105.5642029,1,NA,1.14354e+11,2,1.14354e+13,1143540102,NA,NA,2,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000300,121,"10:25",19,NA,NA,NA,"0:30","","","","10:55",14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,42,1,42101,"101_103",4210160000,42101000500,72,1.17,35,14.506672,1.047142,123.5101174,10,55,655,3,"8/1/2012","",0,-75.1741319574651,39.9575333855516,-75.1608290378846,39.9512565309348,"POINT (-75.174132 39.957533)","POINT (-75.160829 39.951257)"
