record_id,sample,HH_ID,PERSON_NUM,mode,o_taz,d_taz,restore_average_min,cut_average_min,delta_min,TOUR_TYPE,TOUR_NUM,TRIP_NUM,O_LOC_TYPE,D_LOC_TYPE,ACTIV1,PARTY,MODE,MODE_AGG,TripFactor,CompositeWeight,P_WEIGHT,P_TOT_TRIPS,GEND,AGECAT,RACE,EDUCA,LIC,EMPLY,WK_STAT,JOBS,HOURS,OCCUP,WK_MODE,TCOMM,PARK_SUB,TRAN_SUB,STUDE,T_TRIP,TAP,HH_WEIGHT,H_COUNTY,H_TAZ,A_TYPE,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,TOT_BIKE,CAR_SHARE,RES_TYPE,INCOME,female,age_cat,age_65plus,race_cat,college_deg,has_license,employed,student,transit_trips_wk,transit_subsidy,income_k,low_income,hh_size,hh_workers,hh_vehicles,area_type,work_tour,home_based,zero_veh_hh,veh_per_adult
1079970102,"bus_subway_trolley",107997,1,"Trolley / light rail",10205,4459,69.067,69.842,0.775,2,1,2,4,4,19,NA,23,5,1.12,90.11960831,80.46393599,7,2,9,988,6,1,1,NA,98,16,29,NA,NA,NA,NA,3,0,NA,118.4558804,42029,8216,5,1,1,1,1,0,2,1,6,1,9,0,NA,1,1,1,0,0,NA,87.5,0,1,1,1,"rural",0,1,0,1
1079970104,"bus_subway_trolley",107997,1,"Subway / El",86,1021,31.777,35.577,3.8,2,1,4,4,4,6,NA,21,5,1.12,90.11960831,80.46393599,7,2,9,988,6,1,1,NA,98,16,29,NA,NA,NA,NA,3,0,NA,118.4558804,42029,8216,5,1,1,1,1,0,2,1,6,1,9,0,NA,1,1,1,0,0,NA,87.5,0,1,1,1,"rural",0,1,0,1
1094120102,"bus_subway_trolley",109412,1,"Subway / El",7401,90,NA,NA,NA,2,1,2,4,4,18,NA,21,5,1.13,93.13084402,82.41667612,7,2,10,988,6,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,193.1562522,42029,7431,5,2,0,2,2,0,2,4,99,1,10,1,NA,1,1,0,0,1,NA,NA,NA,2,0,2,"rural",0,1,0,1
1096380201,"bus_subway_trolley",109638,2,"Bus / trolleybus",4440,74,40.7,42.95,2.25,1,1,1,1,2,6,NA,14,5,1.12,91.30253569,81.52012115,2,1,9,988,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,3,0,NA,123.6681131,42045,4440,4,3,1,2,2,0,2,2,7,0,9,0,NA,0,1,0,0,0,NA,125,0,3,1,2,"suburban",1,1,0,0.666666666666667
1096380202,"bus_subway_trolley",109638,2,"Bus / trolleybus",74,4440,42.175,47.3,5.125,1,1,2,2,1,5,NA,14,5,1.12,91.30253569,81.52012115,2,1,9,988,2,1,2,4,NA,NA,NA,NA,NA,NA,NA,3,0,NA,123.6681131,42045,4440,4,3,1,2,2,0,2,2,7,0,9,0,NA,0,1,0,0,0,NA,125,0,3,1,2,"suburban",1,1,0,0.666666666666667
1109990102,"bus_subway_trolley",110999,1,"Subway / El",4830,5010,NA,NA,NA,1,1,2,2,4,5,NA,21,5,1.12,128.6196118,114.8389391,4,2,8,988,6,1,1,NA,1,32,31,1,1,3,2,3,0,NA,125.5299342,42045,5014,4,2,2,2,2,1,1,1,7,1,8,0,NA,1,1,1,0,0,0,125,0,2,2,2,"suburban",1,1,0,1
1111180102,"bus_subway_trolley",111118,1,"Subway / El",10028,1040,82.705,82.383,-0.321,1,1,2,4,2,19,NA,21,5,1.17,241.9385946,206.7851236,5,2,8,988,5,1,1,NA,1,50,43,3,0,1,1,3,0,NA,211.9343458,42045,5047,3,2,1,2,2,1,2,2,5,1,8,0,NA,1,1,1,0,0,1,62.5,0,2,1,2,"urban",1,1,0,1
1111180103,"bus_subway_trolley",111118,1,"Subway / El",1040,5047,60.492,64.242,3.75,1,1,3,2,1,5,NA,21,5,1.17,241.9385946,206.7851236,5,2,8,988,5,1,1,NA,1,50,43,3,0,1,1,3,0,NA,211.9343458,42045,5047,3,2,1,2,2,1,2,2,5,1,8,0,NA,1,1,1,0,0,1,62.5,0,2,1,2,"urban",1,1,0,1
1122920103,"bus_subway_trolley",112292,1,"Subway / El",12222,11646,127.367,127.367,0,1,1,3,4,2,6,NA,21,5,1.17,256.5650341,219.286354,5,1,8,988,5,1,1,NA,1,50,15,1,0,3,2,3,0,NA,174.9047129,42091,12213,4,3,2,2,2,3,1,1,5,0,8,0,NA,1,1,1,0,0,0,62.5,0,3,2,2,"suburban",1,1,0,0.666666666666667
1143540102,"bus_subway_trolley",114354,1,"Bus / trolleybus",121,72,14.321,16.715,2.394,2,1,2,4,4,19,NA,14,5,1.17,123.5101174,105.5642029,6,2,10,988,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,8,NA,264.8909442,42101,122,1,1,0,0,0,0,2,5,2,1,10,1,NA,0,1,0,0,8,NA,17.5,1,1,0,0,"cbd",0,1,1,0
1143540103,"bus_subway_trolley",114354,1,"Bus / trolleybus",72,88,8.6,8.35,-0.25,2,1,3,4,4,6,NA,14,5,1.17,123.5101174,105.5642029,6,2,10,988,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,8,NA,264.8909442,42101,122,1,1,0,0,0,0,2,5,2,1,10,1,NA,0,1,0,0,8,NA,17.5,1,1,0,0,"cbd",0,1,1,0
1143540105,"bus_subway_trolley",114354,1,"Bus / trolleybus",107,121,21.308,25.983,4.675,2,1,5,4,4,19,NA,14,5,1.17,123.5101174,105.5642029,6,2,10,988,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,8,NA,264.8909442,42101,122,1,1,0,0,0,0,2,5,2,1,10,1,NA,0,1,0,0,8,NA,17.5,1,1,0,0,"cbd",0,1,1,0
