record_id,sample,mode,o_taz,d_taz,restore_average_min,cut_average_min,delta_min
1079970102,"bus_subway_trolley","Trolley / light rail",10205,4459,69.067,69.842,0.775
1079970104,"bus_subway_trolley","Subway / El",86,1021,31.777,35.577,3.8
1094120102,"bus_subway_trolley","Subway / El",7401,90,NA,NA,NA
1096380201,"bus_subway_trolley","Bus / trolleybus",4440,74,40.7,42.95,2.25
1096380202,"bus_subway_trolley","Bus / trolleybus",74,4440,42.175,47.3,5.125
1109990102,"bus_subway_trolley","Subway / El",4830,5010,NA,NA,NA
1111180102,"bus_subway_trolley","Subway / El",10028,1040,82.705,82.383,-0.321
1111180103,"bus_subway_trolley","Subway / El",1040,5047,60.492,64.242,3.75
1122920103,"bus_subway_trolley","Subway / El",12222,11646,127.367,127.367,0
1143540102,"bus_subway_trolley","Bus / trolleybus",121,72,14.321,16.715,2.394
1143540103,"bus_subway_trolley","Bus / trolleybus",72,88,8.6,8.35,-0.25
1143540105,"bus_subway_trolley","Bus / trolleybus",107,121,21.308,25.983,4.675
1145550101,"bus_subway_trolley","Bus / trolleybus",808,41,29.325,32.523,3.198
1147360206,"bus_subway_trolley","Subway / El",9,1814,51.494,46.004,-5.49
1148770102,"bus_subway_trolley","Subway / El",846,1037,40.15,43.079,2.929
1149340203,"bus_subway_trolley","Trolley / light rail",1020,74,12.596,13.627,1.031
1149340204,"bus_subway_trolley","Subway / El",74,834,17.108,17.483,0.375
1150140102,"bus_subway_trolley","Subway / El",834,59,22.717,21.629,-1.088
1150140109,"bus_subway_trolley","Subway / El",41,834,20.756,17.483,-3.273
1150140205,"bus_subway_trolley","Bus / trolleybus",834,5,25.1,23.85,-1.25
1150140206,"bus_subway_trolley","Bus / trolleybus",5,834,28.19,24.913,-3.277
1152880202,"bus_subway_trolley","Bus / trolleybus",819,74,41.336,45.088,3.752
1152880203,"bus_subway_trolley","Bus / trolleybus",74,1034,15.86,15.86,0
1152910101,"bus_subway_trolley","Bus / trolleybus",819,131,30.002,30.269,0.267
1152910102,"bus_subway_trolley","Bus / trolleybus",131,126,22.163,24.454,2.292
1152910104,"bus_subway_trolley","Bus / trolleybus",126,131,25.481,24.656,-0.825
1158850101,"bus_subway_trolley","Subway / El",1027,106,32.567,34.317,1.75
1158850102,"bus_subway_trolley","Subway / El",106,1027,34.35,35.333,0.983
1164850102,"bus_subway_trolley","Subway / El",134,1019,29.854,30.417,0.562
1164850105,"bus_subway_trolley","Subway / El",1030,60,15.417,14.808,-0.608
1165490101,"bus_subway_trolley","Bus / trolleybus",141,1418,37.481,40.663,3.181
1165490102,"bus_subway_trolley","Bus / trolleybus",1418,141,35.085,38.504,3.419
1165660101,"bus_subway_trolley","Bus / trolleybus",142,10010,46.204,49.233,3.029
1165660201,"bus_subway_trolley","Bus / trolleybus",140,1030,32.737,34.104,1.367
1169120102,"bus_subway_trolley","Bus / trolleybus",431,78,34.625,37.369,2.744
1169120103,"bus_subway_trolley","Bus / trolleybus",78,55,11.958,13.581,1.623
1169120107,"bus_subway_trolley","Bus / trolleybus",88,71,7.194,8.881,1.688
1169120109,"bus_subway_trolley","Bus / trolleybus",71,92,8.217,9.717,1.5
1175240102,"bus_subway_trolley","Bus / trolleybus",3203,92,34.487,33.5,-0.987
1175240107,"bus_subway_trolley","Bus / trolleybus",92,3203,33.45,32.448,-1.002
2023740101,"bus_subway_trolley","Bus / trolleybus",1224,1236,26.215,24.8,-1.415
2023740102,"bus_subway_trolley","Bus / trolleybus",1236,1224,20.375,28.625,8.25
2064720101,"bus_subway_trolley","Bus / trolleybus",142,41,25.871,28.398,2.527
2064720104,"bus_subway_trolley","Bus / trolleybus",76,88,10.502,11.342,0.84
2064720105,"bus_subway_trolley","Bus / trolleybus",88,142,29.615,31.877,2.262
2064720201,"bus_subway_trolley","Bus / trolleybus",142,403,22.344,20.025,-2.319
2064720202,"bus_subway_trolley","Bus / trolleybus",403,142,14.479,16.637,2.158
2118520101,"bus_subway_trolley","Subway / El",1605,1018,46.65,51.15,4.5
2118520102,"bus_subway_trolley","Subway / El",1018,1605,44.117,44.617,0.5
2297970201,"bus_subway_trolley","Bus / trolleybus",27,1030,17.408,19.273,1.865
2350960102,"bus_subway_trolley","Subway / El",1030,1037,10.517,13.017,2.5
2350960104,"bus_subway_trolley","Trolley / light rail",1035,1016,23.458,26.554,3.096
2428050101,"bus_subway_trolley","Bus / trolleybus",14618,14613,32.683,32.683,0
2435040101,"bus_subway_trolley","Bus / trolleybus",47,48,13.735,9.044,-4.692
2435040102,"bus_subway_trolley","Bus / trolleybus",48,1035,19.327,22.84,3.513
2435040103,"bus_subway_trolley","Bus / trolleybus",1035,47,28.085,30.992,2.906
2526520102,"bus_subway_trolley","Bus / trolleybus",2609,12238,64.381,67.64,3.258
2526520103,"bus_subway_trolley","Bus / trolleybus",12238,93,62.6,61.975,-0.625
2526520104,"bus_subway_trolley","Bus / trolleybus",93,1441,30.733,33.296,2.562
2579920102,"bus_subway_trolley","Trolley / light rail",1016,72,23.381,25.548,2.167
2579920105,"bus_subway_trolley","Trolley / light rail",72,1016,27.223,32.756,5.533
2672010201,"bus_subway_trolley","Bus / trolleybus",44,819,28.925,32.681,3.756
2688810102,"bus_subway_trolley","Subway / El",1030,87,18.523,18.477,-0.046
2688810103,"bus_subway_trolley","Subway / El",87,1027,28.725,30.837,2.112
2774350204,"bus_subway_trolley","Trolley / light rail",1016,83,21.483,24.521,3.038
2920170201,"bus_subway_trolley","Bus / trolleybus",7,83,24.567,26.31,1.744
2966540202,"bus_subway_trolley","Bus / trolleybus",40,1028,28.083,25.785,-2.298
2966540203,"bus_subway_trolley","Bus / trolleybus",1028,39,25.252,26.988,1.735
3006050101,"bus_subway_trolley","Bus / trolleybus",2018,1012,28.192,28.817,0.625
3006050102,"bus_subway_trolley","Bus / trolleybus",1012,2018,44.283,31.446,-12.838
3024870101,"bus_subway_trolley","Bus / trolleybus",1007,82,27.183,29.71,2.527
3024870102,"bus_subway_trolley","Trolley / light rail",82,1007,19.065,20.377,1.312
3032020102,"bus_subway_trolley","Bus / trolleybus",601,139,39.74,41.273,1.533
3032020104,"bus_subway_trolley","Bus / trolleybus",136,601,43.108,44.448,1.34
3033290201,"bus_subway_trolley","Bus / trolleybus",2640,2640,8.402,11.817,3.415
3033290202,"bus_subway_trolley","Bus / trolleybus",2640,2638,17.071,14.635,-2.435
3038950101,"bus_subway_trolley","Bus / trolleybus",5016,5057,73.1,73.1,0
3038950102,"bus_subway_trolley","Subway / El",5057,5013,38.467,38.467,0
3049580106,"bus_subway_trolley","Bus / trolleybus",1202,1011,24.669,29.583,4.915
3049580107,"bus_subway_trolley","Bus / trolleybus",1011,1202,20.052,20.717,0.665
3049580407,"bus_subway_trolley","Bus / trolleybus",1011,1202,20.052,20.717,0.665
3049580506,"bus_subway_trolley","Bus / trolleybus",1007,1011,16.515,18.89,2.375
3049580507,"bus_subway_trolley","Bus / trolleybus",1011,1202,20.052,20.717,0.665
3070050301,"bus_subway_trolley","Subway / El",2633,70,47.479,49.244,1.765
